entrou_no_banco,id,nome,empresa,uf,municipio,setor,fase,tier,valor_estimado,data_publicacao,data_anuncio,status_licenca,prioridade_analise,analise_manual,observacao_manual
2026-07-04 01:00:10.938332,0c175036-09a3-4abc-8b4b-92a32980b519,"CONTRATACAO DE LIMITE DE CREDITO PARA FINANCIAMENTO A AQUISICAO, COMERCIALIZACAO OU PRODUCAO DE MAQUINAS, EQUIPAMENTOS, SISTEMAS INDUSTRIAIS, COMPONENTES, BENS DE INFORMATICA E AUTOMACAO; BEM COMO A AQUISICAO DE BENS INDUSTRIALIZADOS NACIONAIS, SERVICOS NACIONAIS E EQUIPAMENTOS IMPORTADOS COM IMPOSS",DOREMUS ALIMENTOS LTDA,SP,GUARULHOS,INDUSTRIAL,EM_EXECUCAO,PIPELINE,15156315.65,2026-05-14,,CONTRATO ATIVO,ANALISAR,,
2026-07-04 01:00:10.938332,f6f2db3f-0c6e-422c-be8f-60a4d2706966,"PROTECAO E RESTAURACAO DE 49.458 HECTARES DE AREAS DEGRADADAS NO ESTADO DO MATO GROSSO DO SUL, CERRADO BRASILEIRO, SENDO24.608 HA DE CONSERVACAO E 24.850 HA DE RESTAURACAO ECOLOGI CA.",CAMAPUA AGROPECUARIA LTDA,MS,,INDUSTRIAL,EM_EXECUCAO,BRONZE,200000000.0,2026-05-13,,CONTRATO ATIVO,ANALISAR,,
2026-07-04 01:00:10.938332,f17b731a-f389-4d9a-91cb-0d192cf1612d,"APOIO AO PLANO DE INOVACAO DA EMPRESA, CONTEMPLANDO O DESENVOLVIMENTO DE SISTEMAS PARA MONITORAMENTO DE FROTA E A INCORPORACAO DE INTELIGENCIA ARTIFICIAL AS SUAS SOLUCOES.",CONCIERGE BLINDADO SERVICOS AUTOMOTIVOS LTDA,SP,,INDUSTRIAL,EM_EXECUCAO,BRONZE,53000000.0,2026-04-16,,CONTRATO ATIVO,ANALISAR,,
2026-07-04 01:00:10.938332,e9bb8e21-146a-43f8-a34e-be58d49f7fad,"INVESTIMENTO PARA A CONSTRUCAO, E POSTERIOR AMPLIACAO EM FASES, DE UM NOVO DATA CENTER, EM FORTALEZA, CE.",TECTODIGITAL II SPE LTDA,CE,FORTALEZA,INDUSTRIAL,EM_EXECUCAO,BRONZE,150000000.0,2026-01-26,,CONTRATO ATIVO,ANALISAR,,
2026-07-04 01:00:10.938332,2799d586-4c73-42d3-85a7-9dbe9dd9343e,"CONTRATACAO DE LIMITE DE CREDITO PARA FINANCIAMENTO A AQUISICAO, COMERCIALIZACAO OU PRODUCAO DE MAQUINAS, EQUIPAMENTOS, SISTEMAS INDUSTRIAIS, COMPONENTES, BENS DE INFORMATICA E AUTOMACAO; BEM COMO A AQUISICAO DE BENS INDUSTRIALIZADOS NACIONAIS, SERVICOS NACIONAIS E EQUIPAMENTOS IMPORTADOS COM IMPOSS",TRES CORACOES ALIMENTOS S.A.,CE,EUSEBIO,INDUSTRIAL,EM_EXECUCAO,PIPELINE,13384442.6,2026-05-06,,CONTRATO ATIVO,ANALISAR,,
2026-07-04 01:00:10.938332,771ea4dc-c327-4af4-a5fc-edb9caab74b3,"APOIAR A REGULARIZACAO AMBIENTAL E FUNDIARIA, A SOCIOBIOECONOMIA E O FOMENTO AS POLITICAS DE DESENVOLVIMENTO SOCIOECONOMICO DE BAIXO CARBONO NO ESTADO DO PARA.",ESTADO DO PARA,PA,,INDUSTRIAL,EM_EXECUCAO,BRONZE,81243000.0,2026-05-07,,CONTRATO ATIVO,ANALISAR,,
2026-07-04 01:00:10.938332,c70a094a-69f9-490a-a5fb-2484b16c5421,"APOIAR A RECUPERACAO DE AREAS DEGRADADAS E O FORTALECIMENTO DA AGRICULTURA FAMILIAR NA REGIAO NORTE DO ESTADO DE MATO GROSSO, POR MEIO DE SISTEMAS AGROFLORESTAIS, ASSISTENCIA TECNICA,  APOIO A ORGANIZACOES PRODUTIVAS COMUNITARIAS E REALIZACAO DE PESQUISAS.",INSTITUTO OURO VERDE,MT,,INDUSTRIAL,EM_EXECUCAO,PIPELINE,44674380.0,2026-05-08,,CONTRATO ATIVO,ANALISAR,,
2026-07-04 01:00:10.938332,141c2c24-0a3b-47d6-8857-b49b855b9af2,"CONSTRUCAO DE UMA BIORREFINARIA PARA PRODUCAO DE COMBUSTIVELSUSTENTAVEL DE AVIACAO (SUSTAINABLE AVIATION FUEL - ""SAF"")  E DIESEL RENOVAVEL (RENOVABLE DIESEL - ""RD""), COM CAPACIDADEDE PROCESSAMENTO DE 20.000 BARRIS/DIA DE MATERIA-PRIMA, EM  SAO FRANCISCO DO CONDE, ESTADO DA BAHIA.",ACELEN INDUSTRIAL S.A.,BA,SAO FRANCISCO DO CONDE,INDUSTRIAL,EM_EXECUCAO,OURO,503040600.0,2026-05-08,,CONTRATO ATIVO,ALTA - OURO,,
2026-07-04 01:00:10.938332,8f3f2740-8203-4763-a81a-fa27b1107b3b,"INVESTIMENTOS DESTINADOS A EXPANSAO, AO USO E A MELHORIA DA QUALIDADE DAS REDES E DOS SERVICOS DE TELECOMUNICACOES, BEM COMO AO USO E AO DESENVOLVIMENTO DE NOVAS TECNOLOGIAS DE CONECTIVIDADE, PARA REDUCAO DE DESIGUALDADES REGIONAIS E PROMOCAO DO DESENVOLVIMENTO ECONOMICO E SOCIAL, NO AMBITO DO PROGR",P4 TELECOM LTDA.,SC,,INFRAESTRUTURA,EM_EXECUCAO,PIPELINE,10000000.0,2026-05-15,,CONTRATO ATIVO,ANALISAR,,
2026-07-04 01:00:10.938332,356d0f06-a1aa-4a5f-824b-8e73c7f936ae,"CONSTRUCAO DE DOIS NAVIOS GRANELEIROS DE 4.700 TONELADAS, CADA UM, NO ESTALEIRO INC - INDUSTRIA NAVAL CATARINENSE LTDA, CNPJ 29.775.703/0001-73, PROCESSO NO CDFMM NO 50020.003117/2024-1.",NAVEGACAO ALIANCA LTDA.,SC,NAVEGANTES,LOGISTICO,EM_EXECUCAO,PIPELINE,28095989.66,2026-05-19,,CONTRATO ATIVO,ANALISAR,,
2026-07-04 01:00:10.938332,27e5d729-37d0-4eed-94e4-92c1b6e47b24,EXECUCAO DE PLANO DE INVESTIMENTOS DE ADAPTACAO CLIMATICA E INFRAESTRUTURA URBANA DO MUNICIPIO DE FORTALEZA.,MUNICIPIO DE FORTALEZA,CE,,INFRAESTRUTURA,EM_EXECUCAO,PRATA,150000000.0,2026-05-19,,CONTRATO ATIVO,MEDIA - PRATA,,
2026-07-04 01:00:10.938332,6e5401c6-cbac-4616-a7db-56531d65fc06,"APOIAR O FORTALECIMENTO INTEGRADO DA PRODUCAO SUSTENTAVEL DEALIMENTOS PELA AGRICULTURA FAMILIAR  INCLUINDO A ORIUNDA DE POVOS INDIGENAS E DEMAIS POVOS E COMUNIDADES TRADICIONAIS , BEM COMO DA AQUISICAO E DO CONSUMO DE ALIMENTOS DESSA NATUR EZA PARA A ALIMENTACAO ESCOLAR NAS REDES PUBLICAS DE ENSINO ",SERVICO DE APOIO AS MICRO E PEQUENAS EMPRESA (04685236),RR,,INDUSTRIAL,EM_EXECUCAO,PIPELINE,24000000.0,2026-05-20,,CONTRATO ATIVO,ANALISAR,,
2026-07-04 01:00:10.938332,2a835219-e8b2-43b0-82e0-20da27f2f56c,"IMPLANTACAO DE CORREDOR VERDE NO ESTADO DE SAO PAULO, COMPREENDENDO A (I) CONSTRUCAO DE INFRAESTRUTURA PARA ABASTECIMENTO DE BIOMETANO; (II) AQUISICAO DE  VEICULOS PESADOS MOVIDOS A BIOMETANO, DEVIDAMENTE CREDENCIADOS NO CFI BNDES; E (III) E AQUISICAO DE EQUIPAMENTOS CREDENCIADOS NO CFI BNDES, DESTI",TRANSJORDANO LTDA,SP,PAULINIA,LOGISTICO,EM_EXECUCAO,BRONZE,97999153.08,2026-05-26,,CONTRATO ATIVO,ANALISAR,,
2026-07-04 01:00:10.938332,7f18eea4-deaf-47cb-b3e7-97eabfaa1a55,"CONTRATACAO DE LIMITE DE CREDITO PARA FINANCIAMENTO A AQUISICAO, COMERCIALIZACAO DE MAQUINAS, EQUIPAMENTOS, SISTEMAS INDUSTRIAIS, COMPONENTES, BENS DE INFORMATICA E AUTOMACAO, EXCETO AERONAVES E MAQUINAS AGRICOLAS, BEM COMO A AQUISICAO DE BENS INDUSTRIALIZADOS NACIONAIS.",EMBALIXO INDUSTRIA E COMERCIO DE EMBALAGENS PLASTICAS L,SP,HORTOLANDIA,INDUSTRIAL,EM_EXECUCAO,PIPELINE,17718746.88,2026-05-28,,CONTRATO ATIVO,ANALISAR,,
2026-07-04 01:00:10.938332,c13ebd6c-d53d-48d3-bfb5-43a00d199841,"IMPLANTACAO DOS PARQUES EOLICOS VENTOS DE SAO RAFAEL 02 E 05, INTEGRANTES DO COMPLEXO EOLICO SERRA DO TIGRE, COM CAPACIDADE INSTALADA DE 126 MW, NOS MUNICIPIOS DE CAMPO REDONDO, CURRAIS NOVOS, SAO TOME, NO RIO GRANDE DO NORTE, E DE PICUI, NA PARAIBA, E DO SISTEMA DE TRANSMISSAO ASSOCIADO.",TGR SUBHOLDING 4 S.A.,,,ENERGIA,EM_EXECUCAO,BRONZE,600000000.0,2026-05-29,,CONTRATO ATIVO,ANALISAR,,
2026-07-04 01:00:10.938332,c33afe7d-862d-474a-bbf7-7ded0fc97419,"CONTRATACAO DE LIMITE DE CREDITO PARA FINANCIAMENTO A AQUISICAO, COMERCIALIZACAO DE MAQUINAS, EQUIPAMENTOS, SISTEMAS INDUSTRIAIS, COMPONENTES, BENS DE INFORMATICA E AUTOMACAO, EXCETO AERONAVES E MAQUINAS AGRICOLAS; BEM COMO A AQUISICAO DE BENS INDUSTRIALIZADOS NACIONAIS.",ZINHO INDUSTRIA E COMERCIO DE ALIMENTOS LTDA,SP,RIBEIRAO PRETO,INDUSTRIAL,EM_EXECUCAO,PIPELINE,12350000.0,2026-05-29,,CONTRATO ATIVO,ANALISAR,,
